DATE_HISTO,INDEX_DAY_WEEK,INDEX_WEEK_MONTH,INDEX_WEEK_YEAR,IS_PENSION_DAY,IS_SALARY_DAY,IS_WEEKEND_DAY,VAL_DD,VAL_MM,VAL_YYYY,REF_ID_ATM,MNT_RETRAIT,MOVING_AVERAGE_3D,MOVING_STD_7D,MOVING_AVERAGE_7D,SUM_WITHDRAWAL_7D,WITHDRAWAL_RATIO_3D,WITHDRAWAL_RATIO_7D,IS_WITHDRAWAL_SPIKE
2018-02-14,2,2,7,0,0,0,14,2,2018,116,239980,128986.66666666667,32620.84418340634,131422.2857142857,919956.0,1.8605023775067189,1.8260221141011093,1
2018-02-15,3,3,7,0,0,0,15,2,2018,116,96379,160389.66666666666,52488.63545568687,146714.0,1026998.0,0.6009052952289113,0.6569175402483743,0
2018-02-16,4,3,7,0,0,0,16,2,2018,116,160848,170348.0,55889.55581876665,140732.57142857142,985128.0,0.9442318078286801,1.14293371013716,0
2018-02-17,5,3,7,0,0,1,17,2,2018,116,43763,165735.66666666666,55925.0962619176,145675.2857142857,1019727.0,0.2640530000583258,0.3004147188414154,0
2018-02-18,6,3,7,0,0,1,18,2,2018,116,50447,100330.0,68124.49459349425,132561.42857142858,927930.0,0.502810724608791,0.38055564536118025,0
2018-02-19,0,3,8,1,0,0,19,2,2018,116,-15831,85019.33333333333,74292.07246562764,118943.71428571429,832606.0,-0.18620470638050954,-0.13309656668340128,0
2018-02-20,1,3,8,1,0,0,20,2,2018,116,111176,26126.333333333332,89033.4545098209,107181.57142857143,750271.0,4.255323492261958,1.037267867210648,0
2018-02-21,2,3,8,1,0,0,21,2,2018,116,110886,48597.333333333336,84107.84714763233,98108.85714285714,686762.0,2.2817301360842843,1.1302343461053466,0
2018-02-22,3,4,8,0,0,0,22,2,2018,116,162873,68743.66666666667,57878.98635206744,79666.85714285714,557668.0,2.3692800791345627,2.0444260742951004,1
2018-02-23,4,4,8,0,0,0,23,2,2018,116,8953,128311.66666666667,65969.93362130932,89166.0,624162.0,0.06977541662878148,0.10040822735123253,0
2018-02-24,5,4,8,0,0,1,24,2,2018,116,210613,94237.33333333333,63392.94925755839,67466.71428571429,472267.0,2.234921050397578,3.121731986355176,1
2018-02-25,6,4,8,0,0,1,25,2,2018,116,221980,127479.66666666667,81714.95192406552,91302.42857142857,639117.0,1.741297304929675,2.431260629900316,1
2018-02-26,0,4,9,0,0,0,26,2,2018,116,152420,147182.0,92437.45153963748,115807.14285714286,810650.0,1.0355885909961815,1.3161537038179238,0
2018-02-27,1,4,9,0,0,0,27,2,2018,116,151887,195004.33333333334,72152.54481074557,139843.0,978901.0,0.7788903836325004,1.0861251546377009,0
2018-02-28,2,4,9,0,0,0,28,2,2018,116,144406,175429.0,71089.65000014307,145658.85714285713,1019612.0,0.8231592268097065,0.9913986889130376,0
2018-03-01,3,1,9,0,1,0,1,3,2018,116,203780,149571.0,69467.42062016578,150447.42857142858,1053132.0,1.362429882798136,1.3544930739926238,0
2018-03-02,4,1,9,0,1,0,2,3,2018,116,167628,166691.0,72347.82748572865,156291.2857142857,1094039.0,1.0056211793078211,1.072535805396334,0






































































































































































































































































































































































































































































































































































































































































































